"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","significance"
"PDLIM2",7.07256977183041e-08,0.846840724628658,0.646,0.541,0.0010618048998449,"Significant"
"PLK3",7.15276708272891e-08,0.867336795883615,0.637,0.502,0.00107384492213009,"Significant"
"GNL1",7.25110327872322e-08,0.666572551117517,0.807,0.627,0.00108860813523472,"Significant"
"TNC",7.34774303156926e-08,1.90466623028986,0.352,0.206,0.00110311666132949,"Significant"
"DUSP2",7.35407201536242e-08,2.13963397039638,0.339,0.189,0.00110406683166636,"Significant"
"SP2",7.49573345669745e-08,0.678448847999138,0.832,0.661,0.00112533446385399,"Significant"
"ARHGEF17",7.57354622273304e-08,0.704415699168697,0.847,0.687,0.00113701649441891,"Significant"
"C2",7.64055922368308e-08,1.3595710134232,0.462,0.352,0.00114707715625154,"Significant"
"NR2F2",7.88375428115261e-08,0.5937847837678,0.943,0.798,0.00118358803022944,"Significant"
"MAX",7.96115482754255e-08,0.418235880563075,0.989,0.918,0.00119520817425896,"Significant"
"GRAP2",8.0059024574692e-08,2.17169517962868,0.192,0.043,0.00120192613593985,"Significant"
"INAFM1",8.9080118290616e-08,0.633088314599262,0.836,0.682,0.00133735981589702,"Significant"
"VEGFB",9.12026499878555e-08,0.322140689147916,1,0.996,0.00136922538426767,"Significant"
"CREBRF",9.28904803714263e-08,0.566412694527927,0.895,0.687,0.00139456478181622,"Significant"
"USF1",9.78585293056244e-08,0.446945535172112,0.991,0.906,0.00146915010046534,"Significant"
"STK11",1.02714294420224e-07,0.456964803937193,0.987,0.914,0.00154204970213083,"Significant"
"WBP1L",1.04112900290023e-07,0.47571459915739,0.989,0.931,0.00156304697205412,"Significant"
"PIP5K1C",1.05113181341952e-07,0.475913724866153,0.971,0.841,0.00157806419148672,"Significant"
"FAM78A",1.05362413444925e-07,1.79874308171685,0.308,0.137,0.00158180591304866,"Significant"
"CD7",1.09609128992661e-07,2.53426525901339,0.193,0.047,0.00164556185356682,"Significant"
"SAP25",1.10865545416189e-07,0.715445723484153,0.805,0.652,0.00166442443333325,"Significant"
"SH3BP2",1.15562551595199e-07,0.79813868495858,0.674,0.558,0.00173494058709872,"Significant"
"PXDN",1.16306662801016e-07,0.718532201629392,0.838,0.708,0.00174611192863166,"Significant"
"BRD4",1.17529466313539e-07,0.265521386376864,1,1,0.00176446987776516,"Significant"
"ADAMTS1",1.18347682111069e-07,1.62968482409207,0.438,0.318,0.00177675375153348,"Significant"
"NMT1",1.1840690858126e-07,0.494933960757138,0.982,0.833,0.00177764291853046,"Significant"
"GNAI2",1.1889529695465e-07,0.359192366146867,0.996,0.991,0.00178497509318017,"Significant"
"METRNL",1.2392358271556e-07,0.580832077467838,0.869,0.7,0.0018604647473087,"Significant"
"ARHGAP26",1.24322192374118e-07,1.62737466340487,0.348,0.202,0.00186644907411263,"Significant"
"TTLL3",1.31244010842429e-07,0.460056681117512,0.983,0.918,0.00197036633477738,"Significant"
"PKD2",1.32930147289691e-07,0.576581748439357,0.873,0.738,0.00199568030126013,"Significant"
"GPATCH8",1.35076687019233e-07,0.624910623453388,0.891,0.747,0.00202790630221975,"Significant"
"KIAA0355",1.37202796898904e-07,0.860703326440596,0.672,0.536,0.00205982558984324,"Significant"
"UVRAG",1.43030653837084e-07,0.690763369676351,0.801,0.661,0.00214731920605614,"Significant"
"ZBP1",1.49837452700604e-07,2.15599649327069,0.304,0.15,0.00224950967739417,"Significant"
"TPST2",1.50685094867613e-07,1.37522857371381,0.431,0.318,0.00226223532924747,"Significant"
"SYNE2",1.5391072937619e-07,0.40721105447316,1,0.987,0.00231066178012474,"Significant"
"STX4",1.57550003037147e-07,0.421350942170829,0.991,0.944,0.00236529819559669,"Significant"
"SLA2",1.6499294666359e-07,2.34572457940373,0.197,0.052,0.00247703910826047,"Significant"
"PLA2G4C",1.66334769384737e-07,0.985052783241433,0.591,0.464,0.00249718389277306,"Significant"
