"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","significance"
"RBFA",9.41418185473161e-10,-0.406700965098446,0.963,0.923,1.41335112185086e-05,"Significant"
"PIGW",9.43125977033279e-10,-0.921061961291174,0.134,0.343,1.41591502932006e-05,"Significant"
"NLRP2",9.43144495695208e-10,-0.794926262372516,0.418,0.631,1.41594283138722e-05,"Significant"
"NOL7",9.53498144821462e-10,-0.938479014368583,0.186,0.416,1.43148676482046e-05,"Significant"
"VARS",9.60946880171711e-10,-0.314263124814433,0.998,1,1.44266955120179e-05,"Significant"
"ZBED6CL",9.68390988925929e-10,-0.851388433484362,0.169,0.399,1.4538453916745e-05,"Significant"
"ZNF665",9.83082572059091e-10,-2.18409636712497,0.035,0.159,1.47590186543231e-05,"Significant"
"TEAD3",9.89250555433189e-10,-0.772417879936038,0.188,0.433,1.48516185887185e-05,"Significant"
"SLC9A7",9.90161889104185e-10,-1.2585900933491,0.094,0.27,1.48653004411211e-05,"Significant"
"PCDHGA11",1.00389152191642e-09,-1.53096236376223,0.088,0.253,1.50714234185312e-05,"Significant"
